id,tag,name
498,WNXM,Wrapped NXM
499,BAKE,BakerySwap
500,KMD,Komodo
501,ARPA,ARPA
502,BEAN,Bean
503,AUCTION,Bounce
504,IDEX,IDEX
505,BLID,Bolide
506,RAMP,RAMP [OLD]
507,VRA,Verasity
508,AE,Aeternity
509,GAFI,GameFi
510,STARL,StarLink
511,LM,LeisureMeta
512,BTM,Bytom
513,MLN,Enzyme
514,THOR,THORSwap
515,AURA,Aura Finance
516,DFG,Defigram
517,CAW,A Hunters Dream
518,SWISE,StakeWise
519,FORTH,Ampleforth Governance
520,DIA,DIA
521,KOGE,BNB48 Club
522,KAI,KardiaChain
523,LEVER,LeverFi
524,BOND,BarnBridge
525,RIDE,holoride
526,B2M,Bit2Me
527,ORN,Orion Protocol
528,FER,Ferro
529,GRS,Groestlcoin
530,TOMO,TomoChain
531,NEBL,Neblio
532,SBD,Steem Dollars
533,LINA,Linear
534,FUTURE,FutureCoin
535,XTP,Tap
536,BEL,Bella Protocol
537,CERE,Cere Network
538,MRS,Metars Genesis
539,AURORA,Aurora
540,AGEUR,agEUR
541,RAIL,Railgun
542,ETHM,Ethereum Meta
543,UNFI,Unifi Protocol DAO
544,UBT,Unibright
545,SETH,sETH
546,CXO,CargoX
547,SPHERE,Sphere Finance
548,INSTAR,INSTAR
549,WILD,Wilder World
550,RSV,Reserve
551,REGEN,Regen
552,HEGIC,Hegic
553,CRE,Carry
554,BZZ,Swarm
555,SUPER,SuperVerse
556,ALCX,Alchemix
557,CLV,Clover Finance
558,H2O,H2O Dao
559,EUROC,Euro Coin
560,BTS,BitShares
561,FCT,Firmachain
562,ICHI,ICHI
563,ALPINE,Alpine F1 Team Fan Token
564,VIDT,VIDT DAO
565,GBEX,Globiance Exchange
566,LEND,Aave [OLD]
567,FOLD,Manifold Finance
568,SNM,SONM
569,MOC,Mossland
570,FIS,Stafi
571,CUNI,cUNI
572,LYRA,Lyra Finance
573,XKI,KI
574,FEG,FEG BSC
575,EPS,Ellipsis [OLD]
